Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Crop Name (crop_name),Crop Type (crop_type),Crop Code (crop_code),Fertilizer Name (fertilizer),Irrigation Area Type (area_type),Farm Size Group (size_group),Farm Size Category (size_category),Percentage of Nitrogen (n_percentage),Percentage of Phosphorus (p_percentage),Percentage of Potassium (k_percentage),Total Num of Holdings Growing One or More Crop (num_of_holdings_grow_one_more_crop),Num of Holdings Growing One or More Crop Treated with Chemical Fertilizers (num_of_hold_grow_one_more_crop_ttd_with_chem_fert),Area Under All Crop - High Yielding Variety(HYV) (area_under_all_crop_hyv),Area Under All Crop - Other (area_under_all_crop_other),Area Under All Crop - Total (area_under_all_crop_total),Area Under All Crop - High Yielding Variety(HYV) Treated with Chemical Fertilizers (area_under_all_crop_treat_with_che_fert_hyv),Area Under All Crop - Other Treated with Chemical Fertilizers (area_under_all_crop_treat_with_che_fert_other),Area Under All Crop - Total Treated with Chemical Fertilizers (area_under_all_crop_treat_with_che_fert_total),Quantity of Applied HYV (qty_fert_applied_hyv),Quantity of Applied Other (qty_fert_applied_other),Quantity of Applied Total (qty_fert_applied_total)
"2011","Karnataka","29","Bidar","529","Jowar","Cereals","102","Triple Super Phosphate (TSP)","Irrigated","Marginal","Below 1.0","0.0","46.0","0.0","937.0","0.0","308.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Jalgaon","478","Urad","Pulses","203","Triple Super Phosphate (TSP)","Unirrigated","Medium","4.0 - 9.99","0.0","46.0","0.0","343.0","49.0","743.0","0.0","792.0","25.0","0.0","25.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Dhule","474","All Vegetables","Vegetable","799","Nitro Phosphate Potash","Unirrigated","Marginal","Below 1.0","15.0","15.0","15.0","409.0","0.0","0.0","0.0","131.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Karnataka","29","Chitradurga","533","Total Non-Food Crops","Total Non-Food","1999","Diammonium Sulphate","Unirrigated","Small","1.0 - 1.99","18.0","46.0","0.0","26561.0","10990.0","24307.0","2365.0","0.0","11685.0","176.0","0.0","1523.0","15.0","0.0"
"2011","Assam","18","Golaghat","288","Other Vegetables","Vegetable","788","Urea","Irrigated","Large","10 And Above","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Bhandara","471","Total Foodgrains","Total Foodgrain","399","Calcium Ammonium Nitrate","Unirrigated","Semi-Medium","2.0 - 3.99","25.0","0.0","0.0","12879.0","0.0","25701.0","3445.0","30124.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Tamil Nadu","33","The Nilgiris","587","Total Food Crops","Other Food Crop","999","Diammonium Sulphate","Irrigated","Semi-Medium","2.0 - 3.99","18.0","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Karnataka","29","Mysuru","545","Paddy","Cereals","101","Zinc Sulphate Heptahydrate / Monohydrate","Irrigated","Marginal","Below 1.0","0.0","0.0","0.0","44051.0","1421.0","18222.0","0.0","0.0","201.0","0.0","0.0","21.0","0.0","0.0"
"2016","Uttar Pradesh","9","Prayagraj","120","All Vegetables","Vegetable","799","Single Super Phosphate (SSP)","Unirrigated","Large","10 And Above","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Andhra Pradesh","28","West Godavari","523","Total Fruits","Fruits","699","Diammonium Sulphate","Unirrigated","Small","1.0 - 1.99","18.0","46.0","0.0","7374.0","2346.0","6966.0","1586.0","0.0","1734.0","396.0","0.0","164.0","27.0","0.0"
"2011","Tamil Nadu","33","Thanjavur","586","Paddy","Cereals","101","NPK Mixture","Irrigated","Marginal","Below 1.0","19.0","19.0","19.0","169093.0","0.0","66655.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Rajasthan","8","Chittorgarh","95","Garlic","Spices","508","Urea","Unirrigated","Marginal","Below 1.0","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Ahmednagar","466","Sweet Potato","Vegetable","703","Muriate of Potash (MOP)","Unirrigated","Medium","4.0 - 9.99","0.0","0.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Madhya Pradesh","23","Singrauli","638","Paddy","Cereals","101","Urea","Irrigated","Medium","4.0 - 9.99","46.0","0.0","0.0","1810.0","1440.0","3002.0","1204.0","4252.0","2891.0","526.0","3440.0","263.0","110.0","377.0"
"2016","Bihar","10","Purnia","214","Paddy","Cereals","101","Muriate of Potash (MOP)","Unirrigated","Small","1.0 - 1.99","0.0","0.0","60.0","679.0","0.0","0.0","274.0","274.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Rajasthan","8","Hanumangarh","101","Fenugreek","Spices","514","Urea","Irrigated","Large","10 And Above","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Solapur","496","Pomegranate","Fruits","631","Urea","Unirrigated","Medium","4.0 - 9.99","46.0","0.0","0.0","142.0","142.0","283.0","0.0","283.0","283.0","0.0","283.0","28.0","0.0","28.0"
"2011","West Bengal","19","Purba Bardhaman","306","Total Cereals","Cereals","199","Bone Meal (Raw)","Irrigated","Semi-Medium","2.0 - 3.99","0.0","20.0","0.0","27024.0","61.0","87721.0","4720.0","0.0","361.0","0.0","0.0","31.0","0.0","0.0"
"2011","Assam","18","Nagaon","297","Total Oilseeds","Oilseeds","1099","Ammonium Nitrate Phosphate","Irrigated","Semi-Medium","2.0 - 3.99","23.0","23.0","0.0","1239.0","0.0","0.0","21.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Haryana","6","Yamunanagar","76","Masur","Pulses","205","Diammonium Sulphate","Unirrigated","Medium","4.0 - 9.99","18.0","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Andhra Pradesh","28","Guntur","506","Total Cereals","Cereals","199","NPK Mixture","Unirrigated","Marginal","Below 1.0","22.0","22.0","11.0","6936.0","0.0","3005.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","West Bengal","19","24 Paraganas South","304","Cucumber","Vegetable","722","Muriate of Potash (MOP)","Irrigated","Small","1.0 - 1.99","0.0","0.0","60.0","855.0","427.0","363.0","0.0","363.0","206.0","0.0","206.0","3.0","0.0","3.0"
"2011","Madhya Pradesh","23","Narsinghpur","418","Total Spices & Condiments","Spices","599","Ammonium Sulphate","Unirrigated","Medium","4.0 - 9.99","20.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","West Bengal","19","Dinajpur Uttar","311","Other Fruits","Fruits","688","NPK Mixture","Unirrigated","Large","10 And Above","10.0","26.0","26.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Kerala","32","Palakkad","563","Tomato","Vegetable","713","Urea Ammonium Phosphate","Unirrigated","Small","1.0 - 1.99","20.0","20.0","0.0","94.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Bihar","10","Muzaffarpur","208","Total Cereals","Cereals","199","Single Super Phosphate (SSP)","Irrigated","Small","1.0 - 1.99","0.0","16.0","0.0","31922.0","156.0","37661.0","0.0","70263.0","594.0","0.0","594.0","0.0","0.0","0.0"
"2011","Assam","18","Udalguri","617","Total Fibres","Fiber Crops","1199","Diammonium Sulphate","Irrigated","Small","1.0 - 1.99","18.0","46.0","0.0","87.0","0.0","0.0","35.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Uttar Pradesh","9","Kannauj","155","Rapeseed & Mustard (Toria/Taramira)","Oilseeds","1004","NPK Mixture","Irrigated","Semi-Medium","2.0 - 3.99","22.0","22.0","11.0","192.0","0.0","153.0","0.0","153.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Uttar Pradesh","9","Agra","118","Total Non-Food Crops","Total Non-Food","1999","NPK Mixture","Unirrigated","Semi-Medium","2.0 - 3.99","10.0","26.0","26.0","1759.0","0.0","936.0","90.0","1105.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Kerala","32","Thrissur","566","Total Cereals","Cereals","199","Calcium Ammonium Nitrate","Irrigated","Large","10 And Above","25.0","0.0","0.0","37.0","0.0","539.0","0.0","539.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Rajasthan","8","Hanumangarh","101","Fodder & Green Manures","Fodder","1499","Zinc Sulphate Heptahydrate / Monohydrate","Unirrigated","Large","10 And Above","0.0","0.0","0.0","5945.0","0.0","48539.0","24199.0","72738.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","West Bengal","19","Medinipur East","317","Summer Paddy","Cereals","121","Single Super Phosphate (SSP)","Irrigated","Large","10 And Above","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Palghar","665","Total Fruits","Fruits","699","Ammonium Phosphate Sulphate / Nitrogen Phosphate","Unirrigated","Small","1.0 - 1.99","20.0","20.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Gujarat","24","Porbandar","456","Total Non-Food Crops","Total Non-Food","1999","Urea","Unirrigated","Large","10 And Above","46.0","0.0","0.0","132.0","79.0","1254.0","0.0","1254.0","724.0","0.0","724.0","54.0","0.0","54.0"
"2011","Uttar Pradesh","9","Fatehpur","142","Total Pulses","Pulses","299","Diammonium Sulphate","Irrigated","Medium","4.0 - 9.99","18.0","46.0","0.0","88.0","44.0","117.0","0.0","0.0","27.0","0.0","0.0","0.0","0.0","0.0"
"2011","Rajasthan","8","Sikar","114","Rapeseed & Mustard (Toria/Taramira)","Oilseeds","1004","Zinc Sulphate Heptahydrate / Monohydrate","Unirrigated","Medium","4.0 - 9.99","0.0","0.0","0.0","3067.0","0.0","3909.0","1807.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Odisha","21","Anugul","344","Peas (Vegetable) (Green)","Vegetable","719","Muriate of Potash (MOP)","Irrigated","Large","10 And Above","0.0","0.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Uttar Pradesh","9","Ambedkar Nagar","121","Paddy","Cereals","101","Single Super Phosphate (SSP)","Irrigated","Semi-Medium","2.0 - 3.99","0.0","14.0","0.0","5363.0","0.0","12663.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Bihar","10","Munger","207","Total Food Crops","Other Food Crop","999","Single Super Phosphate (SSP)","Unirrigated","Medium","4.0 - 9.99","0.0","14.0","0.0","510.0","0.0","209.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Odisha","21","Balangir","345","Total Fruits","Fruits","699","Urea","Irrigated","Marginal","Below 1.0","46.0","0.0","0.0","316.0","0.0","0.0","42.0","42.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Jharkhand","20","Khunti","606","Cucumber","Vegetable","722","Urea","Irrigated","Marginal","Below 1.0","46.0","0.0","0.0","190.0","190.0","0.0","2.0","2.0","0.0","2.0","2.0","0.0","0.0","0.0"
